Park Name,Address,lat,lng
Homer Harris Park,"2401 E Howell St, Seattle, WA 98122, USA",47.6176335,-122.3011694
Horiuchi Park,"156 Boren Ave, Seattle, WA 98122, USA",47.6027785,-122.31894
Horton Hill Corridor,"3298 36th Ave S, Seattle, WA 98144, USA",47.5737969,-122.2877077
Howell Park,"1740 Howell Pl, Seattle, WA 98122, USA",47.6175199,-122.2805777
Hubbard Homestead,"11203 5th Ave NE, Seattle, WA 98125, USA",47.71007580000001,-122.3234093
Hunter Boulevard,"3299 Hunter Blvd S, Seattle, WA 98144, USA",47.573754,-122.2851283
Hutchinson Playground,"59th Ave S, Seattle, WA, USA",47.49351919999999,-122.2596762
Hyde Place,"3811 E Madison St, Seattle, WA 98112, USA",47.63192189999999,-122.283695
I-5 Colonnade,"1701 Lakeview Blvd E, Seattle, WA 98102, USA",47.6349465,-122.3224201
Interbay Athletic Complex,"3027 17th Ave W, Seattle, WA 98119, USA",47.6473157,-122.378501
Interbay Golf,"2501 15th Ave W, Seattle, WA 98119, USA",47.6436042,-122.3785235
Interlaken Park,"2451 Delmar Dr E, Seattle, WA 98112, USA",47.64206189999999,-122.3171147
International Childrens Park,"700 S Lane St, Seattle, WA 98104, USA",47.5966885,-122.3237625
Inverness Ravine Park,"8619 45th Ave NE, Seattle, WA 98115, USA",47.69085,-122.2799938
Jackson Park Golf Course,"1100 NE 135th St, Seattle, WA 98125, USA",47.7266845,-122.3167368
Japanese Garden,"1075 Lake Washington Blvd E, Seattle, WA 98112, USA",47.628803,-122.2959203
Jefferson Park,"3801 Beacon Ave S, Seattle, WA 98108, USA",47.5697658,-122.3082932
Jefferson Park Golf Course,"4101 Beacon Ave S, Seattle, WA 98108, USA",47.5669677,-122.3076727
Jimi Hendrix Park,"2400 S Massachusetts St, Seattle, WA 98144, USA",47.5883721,-122.3012539
"John C. Little, Sr. Park","6961 37th Ave S, Seattle, WA 98118, USA",47.5399322,-122.2862397
Judge Charles M. Stokes OverlK,"20th Ave S, Minnesota 55038, USA",45.1431923,-93.0407556
Judkins Park and Playfield,"2150 S Norman St, Seattle, WA 98144, USA",47.59303550000001,-122.3036229
Junction Plaza,"42nd Ave SW, North Dakota, USA",46.3987658,-101.3008833
Katie Black's Garden,"1150 S Atlantic St, Seattle, WA 98134, USA",47.5899983,-122.3176061
Kerry Park (Franklin Place),"211 W Highland Dr, Seattle, WA 98119, USA",47.6294868,-122.3599122
Keystone Place,"5664 Keystone Pl N, Seattle, WA 98103, USA",47.6704357,-122.3341343
Kilbourne Park,"9131 California Ave SW, Seattle, WA 98136, USA",47.5219524,-122.3880219
Kingfisher Natural Area on Thornton Creek,"15th Ave NE, Atwater, MN 56209, USA",45.1388465,-94.8490657
Kinnear Park,"899 W Olympic Pl, Seattle, WA 98119, USA",47.6283244,-122.3676625
Kirke Park,"7028 9th Ave NW, Seattle, WA 98117, USA",47.680479,-122.368006
Kiwanis Memorial Preserve Park,"4531 33rd Ave W, Seattle, WA 98199, USA",47.6616515,-122.3994583
Kobe Terrace,"650 S Main St, Seattle, WA 98104, USA",47.60004,-122.3250494
